Дата,Прогноз курса,Реальный курс
2024-01-01,12.694831315379462,12.727
2024-01-02,12.68237863827089,12.6482
2024-01-03,12.656656711509438,12.8663
2024-01-04,12.645404168545225,12.7569
2024-01-05,12.682316118553915,12.736
2024-01-06,12.678819336343562,
2024-01-07,12.658385090656262,12.736
2024-01-08,12.654619066456625,12.7406
2024-01-09,12.655822675131093,12.5403
2024-01-10,12.659957536212094,12.4562
2024-01-11,12.665150059200071,12.3583
2024-01-12,12.659826050362739,12.3344
2024-01-13,12.654126767880868,
2024-01-14,12.655771183316736,12.3344
2024-01-15,12.658423544940828,12.2149
2024-01-16,12.659086346731979,12.2168
2024-01-17,12.658257372193745,12.3606
2024-01-18,12.656329805946154,12.3744
2024-01-19,12.655946671903909,12.2612
2024-01-20,12.657289781711553,
2024-01-21,12.657893023435458,12.2612
2024-01-22,12.657377234900277,12.2066
2024-01-23,12.656777297792337,12.3653
2024-01-24,12.656599530894734,12.3879
2024-01-25,12.656936479722942,12.3983
2024-01-26,12.657295354148244,12.5028
2024-01-27,12.657187967649806,
2024-01-28,12.656892834012174,12.5028
2024-01-29,12.656817196164626,12.3909
2024-01-30,12.656940301051803,12.5024
2024-01-31,12.6570676562049,12.5587
2024-02-01,12.657064260000466,12.5996
2024-02-02,12.656959571560733,12.659
2024-02-03,12.656904444951776,
2024-02-04,12.656948130770319,12.659
2024-02-05,12.65700400406723,12.5825
2024-02-06,12.657007015329757,12.6848
2024-02-07,12.65697196654547,12.6849
2024-02-08,12.656946930490431,12.6238
2024-02-09,12.656957078583456,12.6362
2024-02-10,12.656980639845179,
2024-02-11,12.656985847765537,12.6362
2024-02-12,12.656972888426669,12.6932
2024-02-13,12.656962192374104,12.6922
2024-02-14,12.656964392606154,12.7064
2024-02-15,12.656973056884135,12.8239
2024-02-16,12.656976610021133,12.8201
2024-02-17,12.65697246045479,
2024-02-18,12.65696769714238,12.8201
2024-02-19,12.656967866530858,12.8279
2024-02-20,12.656971116293244,12.8399
2024-02-21,12.656972872059194,12.8724
2024-02-22,12.656971670004381,12.9058
2024-02-23,12.656969734877379,12.9035
2024-02-24,12.65696946032369,
2024-02-25,12.656970636870556,12.9035
2024-02-26,12.65697147594107,12.8339
2024-02-27,12.65697115269532,12.7888
2024-02-28,12.656970397398432,12.6632
2024-02-29,12.656970178553895,12.6797
2024-03-01,12.656970572055979,12.7377
